ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2019-01-02,2188.8390564889937,0.0,3898.65,2188.8390564889937,2188.8390564889937,-1519.8502045194969,-1519.8502045194969,-1519.8502045194969,684.2774125712506,684.2774125712506,684.2774125712506,-2204.1276170907477,-2204.1276170907477,-2204.1276170907477,0.0,0.0,0.0,669.0,45.0
2019-01-03,2188.5559373035303,0.0,3839.65,2188.5559373035303,2188.5559373035303,-1578.5929885162245,-1578.5929885162245,-1578.5929885162245,724.6275231698366,724.6275231698366,724.6275231698366,-2303.220511686061,-2303.220511686061,-2303.220511686061,0.0,0.0,0.0,610.0,54.0
2019-01-04,2188.2728181180664,0.0,3329.65,2188.2728181180664,2188.2728181180664,-2088.7721000886118,-2088.7721000886118,-2088.7721000886118,305.30026047725005,305.30026047725005,305.30026047725005,-2394.072360565862,-2394.072360565862,-2394.072360565862,0.0,0.0,0.0,100.0,23.0
2019-01-07,2187.4234605616757,0.0,3229.65,2187.4234605616757,2187.4234605616757,-2740.227409013691,-2740.227409013691,-2740.227409013691,-140.0036036409007,-140.0036036409007,-140.0036036409007,-2600.22380537279,-2600.22380537279,-2600.22380537279,0.0,0.0,0.0,0.0,120.0
2019-01-08,2187.140341376212,0.0,3343.65,2187.140341376212,2187.140341376212,-2073.2464503886868,-2073.2464503886868,-2073.2464503886868,569.8008556618365,569.8008556618365,569.8008556618365,-2643.0473060505237,-2643.0473060505237,-2643.0473060505237,0.0,0.0,0.0,114.0,23.0
2019-01-09,2186.8572221907484,0.0,3428.65,2186.8572221907484,2186.8572221907484,-1987.7869379571496,-1987.7869379571496,-1987.7869379571496,684.2774125714724,684.2774125714724,684.2774125714724,-2672.064350528622,-2672.064350528622,-2672.064350528622,0.0,0.0,0.0,199.0,46.0
2019-01-10,2186.574103005285,0.0,3453.65,2186.574103005285,2186.574103005285,-1962.7508192241578,-1962.7508192241578,-1962.7508192241578,724.6275231697892,724.6275231697892,724.6275231697892,-2687.378342393947,-2687.378342393947,-2687.378342393947,0.0,0.0,0.0,224.0,50.0
2019-01-11,2186.290983819821,0.0,3229.65,2186.290983819821,2186.290983819821,-2384.1865025480784,-2384.1865025480784,-2384.1865025480784,305.30026047648613,305.30026047648613,305.30026047648613,-2689.4867630245644,-2689.4867630245644,-2689.4867630245644,0.0,0.0,0.0,0.0,53.0
2019-01-14,2185.4416262634304,0.0,3229.65,2185.4416262634304,2185.4416262634304,-2766.792331433589,-2766.792331433589,-2766.792331433589,-140.00360363946513,-140.00360363946513,-140.00360363946513,-2626.7887277941245,-2626.7887277941245,-2626.7887277941245,0.0,0.0,0.0,0.0,477.0
2019-01-15,2185.1585070779665,0.0,3396.65,2185.1585070779665,2185.1585070779665,-2017.9175678709078,-2017.9175678709078,-2017.9175678709078,569.8008556620176,569.8008556620176,569.8008556620176,-2587.7184235329255,-2587.7184235329255,-2587.7184235329255,0.0,0.0,0.0,167.0,28.0
2019-01-16,2184.875387892503,0.0,3556.65,2184.875387892503,2184.875387892503,-1858.2311910654169,-1858.2311910654169,-1858.2311910654169,684.2774125714495,684.2774125714495,684.2774125714495,-2542.508603636866,-2542.508603636866,-2542.508603636866,0.0,0.0,0.0,327.0,20.0
2019-01-17,2184.5922687070392,0.0,3645.65,2184.5922687070392,2184.5922687070392,-1768.489021648416,-1768.489021648416,-1768.489021648416,724.6275231696599,724.6275231696599,724.6275231696599,-2493.116544818076,-2493.116544818076,-2493.116544818076,0.0,0.0,0.0,416.0,21.0
2019-01-18,2184.309149521576,0.0,3277.65,2184.309149521576,2184.309149521576,-2136.2369699159053,-2136.2369699159053,-2136.2369699159053,305.3002604755177,305.3002604755177,305.3002604755177,-2441.5372303914232,-2441.5372303914232,-2441.5372303914232,0.0,0.0,0.0,48.0,17.0
2019-01-21,2183.4597919651846,0.0,3229.65,2183.4597919651846,2183.4597919651846,-2432.892628995696,-2432.892628995696,-2432.892628995696,-140.00360364125967,-140.00360364125967,-140.00360364125967,-2292.889025354437,-2292.889025354437,-2292.889025354437,0.0,0.0,0.0,0.0,26.0
2019-01-22,2183.1766727797212,0.0,3731.65,2183.1766727797212,2183.1766727797212,-1681.3283964093187,-1681.3283964093187,-1681.3283964093187,569.8008556620454,569.8008556620454,569.8008556620454,-2251.1292520713637,-2251.1292520713637,-2251.1292520713637,0.0,0.0,0.0,502.0,25.0
2019-01-23,2182.8935535942574,0.0,3881.65,2182.8935535942574,2182.8935535942574,-1531.3719148962443,-1531.3719148962443,-1531.3719148962443,684.2774125716714,684.2774125716714,684.2774125716714,-2215.6493274679156,-2215.6493274679156,-2215.6493274679156,0.0,0.0,0.0,652.0,35.0
2019-01-24,2182.610434457656,0.0,3949.65,2182.610434457656,2182.610434457656,-1462.8734820684103,-1462.8734820684103,-1462.8734820684103,724.627523169968,724.627523169968,724.627523169968,-2187.5010052383786,-2187.5010052383786,-2187.5010052383786,0.0,0.0,0.0,720.0,26.0
2019-01-25,2182.3273153210544,0.0,3549.65,2182.3273153210544,2182.3273153210544,-1862.1445318666845,-1862.1445318666845,-1862.1445318666845,305.3002604749584,305.3002604749584,305.3002604749584,-2167.4447923416424,-2167.4447923416424,-2167.4447923416424,0.0,0.0,0.0,320.0,1.0
2019-01-28,2181.4779579112496,0.0,3229.65,2181.4779579112496,2181.4779579112496,-2298.834093427549,-2298.834093427549,-2298.834093427549,-140.00360364034788,-140.00360364034788,-140.00360364034788,-2158.8304897872013,-2158.8304897872013,-2158.8304897872013,0.0,0.0,0.0,0.0,37.0
2019-01-29,2181.194838774648,0.0,3807.65,2181.194838774648,2181.194838774648,-1602.8235494996857,-1602.8235494996857,-1602.8235494996857,569.8008556620729,569.8008556620729,569.8008556620729,-2172.624405161759,-2172.624405161759,-2172.624405161759,0.0,0.0,0.0,578.0,28.0
2019-01-30,2180.9117196380466,0.0,3900.65,2180.9117196380466,2180.9117196380466,-1509.505412812344,-1509.505412812344,-1509.505412812344,684.2774125710644,684.2774125710644,684.2774125710644,-2193.7828253834086,-2193.7828253834086,-2193.7828253834086,0.0,0.0,0.0,671.0,20.0
2019-01-31,2180.628600501445,0.0,3913.65,2180.628600501445,2180.628600501445,-1496.7272595195757,-1496.7272595195757,-1496.7272595195757,724.6275231694831,724.6275231694831,724.6275231694831,-2221.3547826890585,-2221.3547826890585,-2221.3547826890585,0.0,0.0,0.0,684.0,14.0
2019-02-01,2180.3454813648436,0.0,3460.65,2180.3454813648436,2180.3454813648436,-1948.892654065883,-1948.892654065883,-1948.892654065883,305.30026047622164,305.30026047622164,305.30026047622164,-2254.1929145421045,-2254.1929145421045,-2254.1929145421045,0.0,0.0,0.0,231.0,20.0
2019-02-04,2179.496123955039,0.0,3229.65,2179.496123955039,2179.496123955039,-2510.8274982858215,-2510.8274982858215,-2510.8274982858215,-140.00360363995978,-140.00360363995978,-140.00360363995978,-2370.823894645862,-2370.823894645862,-2370.823894645862,0.0,0.0,0.0,0.0,37.0
2019-02-05,2179.213004818437,0.0,3567.65,2179.213004818437,2179.213004818437,-1841.1166441023238,-1841.1166441023238,-1841.1166441023238,569.8008556621006,569.8008556621006,569.8008556621006,-2410.9174997644245,-2410.9174997644245,-2410.9174997644245,0.0,0.0,0.0,338.0,253.0
2019-02-06,2178.929885681836,0.0,3643.65,2178.929885681836,2178.929885681836,-1764.9405797485342,-1764.9405797485342,-1764.9405797485342,684.2774125704576,684.2774125704576,684.2774125704576,-2449.217992318992,-2449.217992318992,-2449.217992318992,0.0,0.0,0.0,414.0,540.0
2019-02-07,2178.646766545234,0.0,3648.65,2178.646766545234,2178.646766545234,-1759.7639552375704,-1759.7639552375704,-1759.7639552375704,724.6275231697914,724.6275231697914,724.6275231697914,-2484.391478407362,-2484.391478407362,-2484.391478407362,0.0,0.0,0.0,419.0,268.0
2019-02-08,2178.3636474086325,0.0,3229.65,2178.3636474086325,2178.3636474086325,-2209.9367061486837,-2209.9367061486837,-2209.9367061486837,305.30026047545783,305.30026047545783,305.30026047545783,-2515.2369666241416,-2515.2369666241416,-2515.2369666241416,0.0,0.0,0.0,0.0,29.0
2019-02-11,2177.514289998828,0.0,3229.65,2177.514289998828,2177.514289998828,-2712.535418538538,-2712.535418538538,-2712.535418538538,-140.00360364070673,-140.00360364070673,-140.00360364070673,-2572.5318148978317,-2572.5318148978317,-2572.5318148978317,0.0,0.0,0.0,0.0,26.0
2019-02-12,2177.2311708622265,0.0,3398.65,2177.2311708622265,2177.2311708622265,-2008.087038999932,-2008.087038999932,-2008.087038999932,569.8008556622815,569.8008556622815,569.8008556622815,-2577.887894662213,-2577.887894662213,-2577.887894662213,0.0,0.0,0.0,169.0,18.0
